# calib-baseline  tag=tool  turns=744  (0 without wide-Q)
# key	n_tok	tok_hash	n_sig	wq_hash	mean_pop
aead_decrypt|can you decrypt ChaCha20-Poly1305 blob feedface90ab using key ffeeddccbbaa99887766554433221100ffeeddccbbaa99887766554433221100 and nonce 0b0a090807060504030201ff with no AAD	1601	08282b534120d95b	1601	1e0e00f2ffc2b60f	760.7
aead_decrypt|decrypt the AES-128-GCM ciphertext 3a7f9c2e1b8d with key 000102030405060708090a0b0c0d0e0f, nonce 0102030405060708090a0b0c, and no AAD	674	148f7916a87d1a37	674	af74087fde11d675	762.8
aead_decrypt|decrypt the AES-128-GCM ciphertext c0ffee11 with key aabbccddeeff00112233445566778899, nonce 00112233445566778899aabb, no AAD	462	24f67cbcb24e1ee6	462	ea94287896d3f037	761.8
aead_decrypt|decrypt the AES-256-GCM ciphertext 5e1a3f9c with key 0011223344556677889900aabbccddeeff00112233445566778899aabbccddee, nonce 0102030405060708090a0b0c, and no AAD	1170	72c0442dd161203f	1170	e110da5a83404967	760.5
aead_decrypt|decrypt the AES-256-GCM ciphertext 9a8b7c6d5e4f302112034455667788990a1b2c3d4e5f60718293a4b5c6d7e8f90 with key cafebabedeadbeef0011223344556677cafebabedeadbeef0011223344556677, nonce 00112233445566778899aabb, no AAD	714	195a29139bfbe7ef	714	a73b26ada0c87bd8	761.2
aead_decrypt|decrypt the ChaCha20-Poly1305 ciphertext 9f3c7a2e with key 0011223344556677889900aabbccddeeff00112233445566778899aabbccddee, nonce 000102030405060708090a0b, no AAD	744	dabb58cfce15ecd8	744	4cb3e95f8ad70699	762.7
aead_decrypt|open the AES-256-GCM ciphertext 7b2d4e6f8a0c with key 1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100, nonce a1b2c3d4e5f60718293a4b5c, no AAD	1186	023ca5d79c1dab81	1186	7e4e9004fb79ce7b	760.3
aead_decrypt|recover the plaintext from AES-128-GCM ciphertext 1234abcd5678 with key 112233445566778899aabbccddeeff00, nonce ffeeddccbbaa99887766554433, and no AAD	1680	58f324bebbf20a43	1680	ed509821b3e97f1e	759.2
aead_encrypt|can you AES-128-GCM encrypt 'ping ok' with the key 112233445566778899aabbccddeeff00 and nonce ffeeddccbbaa99887766554433	1262	0e9fea3f298b334d	1262	099a3172610dadd4	758.9
aead_encrypt|encrypt 'session token grant' with ChaCha20-Poly1305, key ffeeddccbbaa99887766554433221100ffeeddccbbaa99887766554433221100, nonce 0b0a090807060504030201ff	623	c0256c13502baa89	623	a4595e2dd3353ff0	762.1
aead_encrypt|encrypt the text 'confidential memo' with AES-128-GCM, key aabbccddeeff00112233445566778899, nonce 00112233445566778899aabb	645	8de9028d55516cff	645	ca2bc125d963e0a7	760.0
aead_encrypt|encrypt the text 'launch code 7' with AES-128-GCM, key 000102030405060708090a0b0c0d0e0f, nonce 0102030405060708090a0b0c	535	a0a5da13cd50835d	535	a9b814aa9600bbf8	761.5
aead_encrypt|encrypt the text 'meet at noon' with AES-256-GCM, key 0011223344556677889900aabbccddeeff00112233445566778899aabbccddee, nonce 0102030405060708090a0b0c	479	9fd76c652aa59f6f	479	8a78a23f3e8dbc72	762.6
aead_encrypt|encrypt the text 'top secret' with ChaCha20-Poly1305, key 0011223344556677889900aabbccddeeff00112233445566778899aabbccddee, nonce 000102030405060708090a0b	490	610c4035d40a7aaf	490	7cb44c1deb69f141	763.7
aead_encrypt|run AES-256-GCM over the message 'rotate the master key' with key 1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100 and nonce 00112233445566778899aabb	797	4143772a63dc0344	797	574754bb14ceeb28	759.9
aead_encrypt|seal 'wire the funds' using AES-256-GCM with key cafebabedeadbeef0011223344556677cafebabedeadbeef0011223344556677 and nonce a1b2c3d4e5f60718293a4b5c	588	71ddb21674957480	588	ea88a1d5297cd08f	761.1
bytes_pack|encode the signed bytes -47, 112, and -9 with the format '>bbb'	393	87fa4c72cc96bdba	393	2bf2fd331e1b90b9	758.3
bytes_pack|pack the double 2.71828 with the format '<d'	277	92f7b3f26ef7e689	277	2a48e703ef32bd48	764.0
bytes_pack|pack the float 3.14 and the shorts 7 and 9 into bytes with format '>fHH'	556	781759168608af6b	556	dfadc695952e20fe	760.3
bytes_pack|pack the integers 3149642683, 1094795585, and 2882395258 as big-endian unsigned 32-bit ints	339	86e9fecc709be89d	339	1a087a0856dc8bdd	764.2
bytes_pack|pack the value 65535 and the float 1.5 as little-endian with format '<Hf'	461	01a9b029e18cb877	461	573536a8090a3f54	762.6
bytes_pack|pack the values 3405691582 and 48350 into a binary buffer with the format '>IH'	329	bfba712e36782506	329	efe5535af28789a1	762.8
bytes_pack|pack the values 46021 and 12873 as little-endian u16s	256	a8f36cf8227d184c	256	c02764f507781fc5	762.4
bytes_pack|serialize the u64 4294967296 and the u8 200 using format '>QB'	353	2180c9b95698a78d	353	ca1a4b5102df9427	761.6
bytes_transcode|convert the base64url string SGVsbG8gd29ybGQ to base64	210	7ab2d9621bbbda36	210	881a427b91e2db90	761.6
bytes_transcode|convert the base64url string aGVsbG8td29ybGQ to hex	308	f38a4597adce6f0b	308	281b060acbf3da1c	764.7
bytes_transcode|convert the hex string 89504e470d0a1a0a0000000d49484452 to base64	574	7d791e0b4433f80f	574	0f3fff870bfd043d	761.9
bytes_transcode|decode the base64 value VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZyBhbmQga2VlcHMgb24gcnVubmluZw== to a utf8 string	467	d1997ac24c3680c8	467	b1b3ec71b6d0231e	762.6
bytes_transcode|re-encode the utf8 string 'the quick brown fox' to base64url	1122	c0531537c5742acd	1122	f5279fb7e36e2ec5	757.6
bytes_transcode|re-encode the utf8 text 'café menu' as hex	1402	89ef7a9606550770	1402	3dcdafd7cd22e2bc	759.6
bytes_transcode|transcode the base64 value SGVsbG8sIFdvcmxkIQ== to hex	201	54a5a27848c558d7	201	b11d48794bcae211	766.2
bytes_transcode|turn the hex ffd8ffe000104a464946 into base64url	296	8880683ed58e3437	296	282c6597ea28c803	762.6
bytes_unpack|decode the hex-encoded bytes b3f10a4c as a big-endian u32, format '>I'	290	1879e1ca70951ac8	290	93cb9d83f405e3bb	765.5
bytes_unpack|read the hex 9c2f04e7 as four unsigned bytes, format '>BBBB'	584	4af5c10de4ae6331	584	011e5a9802d5af1b	763.1
bytes_unpack|unpack the hex 7b19c4a891e3f5a2c47d1b60 into a u32 and an i64, format '<Iq'	346	c3f14033302c61b9	346	1305540fc4138dc8	766.5
