test	label	depth	prompt_tokens	mode	int8	contexts	valid	prefill_tps	decode_tps	quantized_pct	compress	peak_tokens
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	F32	off	1	-	15018.2	241.5	-	-	308
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	BF16	off	1	-	15752.4	247.2	-	-	308
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	F16	off	1	-	15642.9	240.2	-	-	308
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	F16	off	4	-	23762.6	902.6	-	-	1272
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	F16	off	60	-	22018.4	4455.0	-	-	18612
models::quantized_qwen2::tests::test_parallel_batched_forwarding	Qwen2-0.5B		~700	BF16	off	60	-	21985.8	4951.2	-	-	18612
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	F16	prec	1	✓	14961.7	103.4	-	-	659
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	BF16	prec	1	✓	15114.3	134.6	-	-	659
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	BF16	prec	16	✓	17779.6	897.6	-	-	10618
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	Q8_0	prec	4	✓	15875.2	232.5	100.0%	1.88x	2678
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C0	prec	2	✓	17615.3	324.0	100.0%	1.85x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C1	prec	2	✓	17639.0	324.5	100.0%	2.01x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C2	prec	2	✓	17659.5	318.5	100.0%	2.26x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C3	prec	2	✓	17445.2	315.0	100.0%	2.40x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C4	prec	2	✓	17613.2	323.5	100.0%	2.58x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C5	prec	2	✓	17640.2	317.9	100.0%	2.76x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C6	prec	2	✓	17603.8	325.2	100.0%	2.86x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C7	prec	2	✓	17500.3	326.9	100.0%	3.61x	1358
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C8	prec	32	✓	17632.3	772.4	100.0%	3.83x	21202
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C9	prec	5	✓	18468.5	728.0	100.0%	4.08x	3337
models::quantized_qwen35::tests::test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B		~700	C10	prec	10	✓	17796.4	1149.9	100.0%	4.11x	6640
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	F32	prec	1	✓	5261.6	130.3	-	-	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	F16	prec	1	✓	5279.1	130.7	-	-	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	F16	prec	4	✓	4980.5	375.3	-	-	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	R16	prec	1	✓	5320.5	130.8	0.0%	-	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q8_0	prec	1	✓	5297.1	135.3	100.0%	1.88x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q8_Q4	prec	1	✓	5326.9	128.5	100.0%	2.29x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	BF16	prec	4	✓	4972.2	373.4	-	-	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q8_1	prec	4	✓	4968.3	313.1	100.0%	1.78x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q8_KS	prec	4	✓	4968.6	348.0	100.0%	1.78x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q8_Q4	prec	4	✓	4946.9	312.0	100.0%	2.29x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q4_0	prec	4	-	4928.2	354.6	100.0%	3.56x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q4_1	prec	4	-	4932.4	317.1	100.0%	3.20x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	Q4_KS	prec	4	-	4968.1	339.7	100.0%	3.20x	2658
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C0	prec	1	✓	5288.7	133.5	100.0%	1.87x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C1	prec	1	✓	5240.4	132.0	100.0%	2.19x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C2	prec	1	✓	5252.0	133.3	100.0%	2.37x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C3	prec	1	✓	5211.1	132.3	100.0%	2.75x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C4	prec	1	✓	5253.5	132.4	100.0%	3.07x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C5	prec	1	✓	5281.4	132.2	100.0%	3.28x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C6	prec	1	✓	5257.8	131.4	100.0%	3.44x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C7	prec	1	✓	5270.8	131.8	100.0%	3.80x	654
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C8	prec	10	✓	4179.3	542.7	100.0%	3.90x	6590
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C9	prec	10	✓	4171.5	482.6	100.0%	4.22x	6590
models::quantized_llama::tests::test_parallel_batched_forwarding_llama3	Llama-3.2-3B		~700	C10	prec	5	✓	4790.5	402.3	100.0%	4.27x	3312
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	F32	perf	1	-	2952.9	87.7	-	-	283
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	F16	perf	1	-	2929.5	88.0	-	-	283
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	F16	perf	4	-	2909.6	244.4	-	-	1176
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	F16	perf	8	-	2555.7	359.4	-	-	2316
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	BF16	perf	1	-	2894.8	90.9	-	-	283
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	BF16	perf	8	-	2556.8	360.8	-	-	2316
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	BF16	perf	16	-	1998.9	466.3	-	-	4624
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	BF16	perf	48	-	1433.0	547.6	-	-	13796
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	Q8_0	perf	32	-	1813.8	464.7	100.0%	1.88x	9220
models::quantized_llama::tests::test_parallel_batched_forwarding_llama2	Llama-2-7B		~700	Q4_0	perf	32	-	1813.4	445.8	100.0%	3.56x	9220
