test	label	depth	prompt_tokens	mode	int8	contexts	valid	prefill_tps	decode_tps	quantized_pct	compress	peak_tokens
long_context_0_5b	Qwen2-0.5B-Instruct (dense, Q4_0)	8192	7953	BF16	prec	1	✓	26516.7	142.1	-	-	8060
long_context_0_5b	Qwen2-0.5B-Instruct (dense, Q4_0)	8192	7953	C5	prec	1	✓	26312.6	137.5	0.0%	-	8060
long_context_0_5b	Qwen2-0.5B-Instruct (dense, Q4_0)	8192	7953	C10	prec	1	✓	25674.0	138.3	0.0%	-	8060
long_context_0_8b	Qwen3.5-0.8B (hybrid dense)	32768	32128	BF16	prec	1	✓	7309.1	157.3	-	-	32235
long_context_0_8b	Qwen3.5-0.8B (hybrid dense)	32768	32128	C5	prec	1	✓	6578.9	155.0	100.0%	2.85x	32235
long_context_0_8b	Qwen3.5-0.8B (hybrid dense)	32768	32128	C10	prec	1	✓	7149.6	158.5	100.0%	4.60x	32235
long_context_0_8b	Qwen3.5-0.8B (hybrid dense)	131072	128433	BF16	prec	1	✓	1859.0	135.6	-	-	128540
long_context_0_8b	Qwen3.5-0.8B (hybrid dense)	131072	128433	C10	prec	1	✓	1913.1	132.1	100.0%	4.63x	128540
long_context_27b	Qwen3.8-27B (hybrid dense)	32768	32128	BF16	perf	1	✓	691.7	30.6	-	-	32235
long_context_27b	Qwen3.8-27B (hybrid dense)	32768	32128	C5	perf	1	✓	655.0	27.4	100.0%	3.64x	32235
long_context_27b	Qwen3.8-27B (hybrid dense)	32768	32128	C10	perf	1	✓	656.7	26.0	100.0%	5.39x	32235
long_context_27b	Qwen3.8-27B (hybrid dense)	131072	128433	BF16	perf	1	✓	192.0	17.7	-	-	128540
long_context_27b	Qwen3.8-27B (hybrid dense)	131072	128433	C10	perf	1	✓	196.7	11.5	100.0%	5.44x	128540
long_context_30b_a3b	Qwen3-30B-A3B-Instruct-2507 (MoE, Q4_K_M)	8192	7953	BF16	prec	1	✓	3444.7	51.2	-	-	8060
long_context_30b_a3b	Qwen3-30B-A3B-Instruct-2507 (MoE, Q4_K_M)	8192	7953	C5	prec	1	✓	3388.6	47.5	100.0%	3.70x	8060
long_context_30b_a3b	Qwen3-30B-A3B-Instruct-2507 (MoE, Q4_K_M)	8192	7953	C10	prec	1	✓	3367.6	47.2	100.0%	5.94x	8060
long_context_35b	Qwen3.5-35B-A3B (hybrid MoE)	32768	32128	BF16	perf	1	✓	1692.7	61.5	-	-	32235
long_context_35b	Qwen3.5-35B-A3B (hybrid MoE)	32768	32128	C5	perf	1	✓	1641.4	57.6	100.0%	3.82x	32235
long_context_35b	Qwen3.5-35B-A3B (hybrid MoE)	32768	32128	C10	perf	1	✓	1641.4	42.8	100.0%	7.48x	32235
long_context_35b	Qwen3.5-35B-A3B (hybrid MoE)	131072	128433	BF16	perf	1	✓	441.4	28.7	-	-	128540
long_context_35b	Qwen3.5-35B-A3B (hybrid MoE)	131072	128433	C10	perf	1	✓	449.8	14.1	100.0%	7.63x	128540
long_context_36_35b	Qwen3.6-35B-A3B (hybrid MoE)	32768	32128	BF16	perf	1	✓	1692.8	56.8	-	-	32235
long_context_36_35b	Qwen3.6-35B-A3B (hybrid MoE)	32768	32128	C5	perf	1	✓	1647.1	53.2	100.0%	3.81x	32235
long_context_36_35b	Qwen3.6-35B-A3B (hybrid MoE)	32768	32128	C10	perf	1	✓	1637.4	41.4	100.0%	7.01x	32235
long_context_36_35b	Qwen3.6-35B-A3B (hybrid MoE)	131072	128433	BF16	perf	1	✓	443.4	27.9	-	-	128540
long_context_36_35b	Qwen3.6-35B-A3B (hybrid MoE)	131072	128433	C10	perf	1	✓	456.4	14.5	100.0%	7.17x	128540
long_context_8b	Qwen3-8B (dense, Q6_K)	8192	7953	BF16	prec	1	✓	3235.1	42.8	-	-	8060
long_context_8b	Qwen3-8B (dense, Q6_K)	8192	7953	C5	prec	1	✓	3213.9	40.1	100.0%	3.71x	8060
long_context_8b	Qwen3-8B (dense, Q6_K)	8192	7953	C10	prec	1	✓	3212.7	41.8	100.0%	6.31x	8060
long_context_9b	Qwen3.5-9B (hybrid dense)	32768	32128	BF16	prec	1	✓	1987.2	75.0	-	-	32235
long_context_9b	Qwen3.5-9B (hybrid dense)	32768	32128	C5	prec	1	✓	2002.5	58.5	100.0%	3.76x	32235
