test	label	depth	prompt_tokens	mode	int8	contexts	valid	prefill_tps	decode_tps	quantized_pct	compress	peak_tokens
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F32	off	1	-	31121.7	246.6	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	1	-	31482.4	248.6	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	1	-	29392.2	251.8	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	4	-	64379.5	931.9	-	-	1272
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	60	-	80142.7	4796.4	-	-	18612
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	60	-	77559.4	4839.8	-	-	18612
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	F16	prec	1	✓	24307.2	152.5	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	1	✓	24401.6	153.8	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	16	✓	36163.9	1858.1	-	-	10618
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	Q8_0	prec	4	✓	35305.3	668.6	100.0%	1.88x	2678
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C0	prec	2	✓	30547.1	349.3	100.0%	1.85x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C1	prec	2	✓	30683.1	348.4	100.0%	2.01x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C2	prec	2	✓	30520.7	351.9	100.0%	2.26x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C3	prec	2	✓	30662.5	341.6	100.0%	2.40x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C4	prec	2	✓	30735.7	351.5	100.0%	2.58x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C5	prec	2	✓	30638.0	353.8	100.0%	2.76x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C6	prec	2	✓	30691.5	348.3	100.0%	2.86x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C7	prec	2	✓	30655.5	353.3	100.0%	3.61x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	32	✓	35801.5	2372.6	100.0%	3.83x	21202
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C9	prec	5	✓	34794.9	821.8	100.0%	4.08x	3337
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C10	prec	10	✓	36327.4	1406.0	100.0%	4.11x	6640
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	35639.7	3353.4	100.0%	3.83x	169218
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	64	✓	36167.3	2768.6	100.0%	3.83x	42338
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	128	✓	35827.3	3082.8	100.0%	3.83x	84644
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	35315.0	3304.1	100.0%	3.83x	169218
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F32	prec	1	✓	12898.6	132.6	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	1	✓	12887.6	133.0	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	4	✓	13860.9	464.2	-	-	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	R16	prec	1	✓	12447.3	126.1	0.0%	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_0	prec	1	✓	12601.9	134.8	100.0%	1.88x	654
