test	label	depth	prompt_tokens	mode	int8	contexts	valid	prefill_tps	decode_tps	quantized_pct	compress	peak_tokens
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F32	off	1	-	31571.6	257.8	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	1	-	31605.8	256.7	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	1	-	31481.5	254.5	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	4	-	65095.6	960.3	-	-	1272
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	60	-	80430.5	4901.5	-	-	18612
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	60	-	79653.3	4924.7	-	-	18612
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	F16	prec	1	✓	24396.5	150.9	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	1	✓	24558.0	155.1	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	16	✓	36801.4	1969.4	-	-	10618
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	Q8_0	prec	4	✓	35579.8	663.7	100.0%	1.88x	2678
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C0	prec	2	✓	30928.3	350.5	100.0%	1.85x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C1	prec	2	✓	31083.2	354.6	100.0%	2.01x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C2	prec	2	✓	31025.6	354.7	100.0%	2.26x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C3	prec	2	✓	30966.7	356.6	100.0%	2.40x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C4	prec	2	✓	30920.0	366.2	100.0%	2.58x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C5	prec	2	✓	31032.7	362.6	100.0%	2.76x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C6	prec	2	✓	30909.0	355.6	100.0%	2.86x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C7	prec	2	✓	31003.1	346.2	100.0%	3.61x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	32	✓	36443.2	2378.0	100.0%	3.83x	21202
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C9	prec	5	✓	34862.8	831.0	100.0%	4.08x	3337
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C10	prec	10	✓	37145.6	1375.9	100.0%	4.11x	6640
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	36290.6	3323.2	100.0%	3.83x	169218
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	64	✓	36581.0	2783.1	100.0%	3.83x	42338
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	128	✓	36298.6	3120.0	100.0%	3.83x	84644
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	35882.3	3299.8	100.0%	3.83x	169218
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F32	prec	1	✓	13053.6	134.2	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	1	✓	12988.3	133.8	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	4	✓	14525.8	480.0	-	-	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	R16	prec	1	✓	13194.2	126.8	0.0%	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_0	prec	1	✓	13165.3	134.3	100.0%	1.88x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_Q4	prec	1	✓	13007.2	121.4	100.0%	2.29x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	BF16	prec	4	✓	14212.7	476.1	-	-	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_1	prec	4	✓	14455.6	430.5	100.0%	1.78x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_KS	prec	4	✓	14439.0	435.0	100.0%	1.78x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_Q4	prec	4	✓	14403.8	424.7	100.0%	2.29x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q4_0	prec	4	-	14463.3	465.2	100.0%	3.56x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q4_1	prec	4	-	14409.3	420.6	100.0%	3.20x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q4_KS	prec	4	-	14407.7	434.6	100.0%	3.20x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C0	prec	1	✓	13166.0	130.5	100.0%	1.87x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C1	prec	1	✓	12820.8	132.0	100.0%	2.23x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C2	prec	1	✓	12858.5	134.1	100.0%	2.41x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C3	prec	1	✓	13151.8	134.0	100.0%	2.77x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C4	prec	1	✓	13060.5	132.6	100.0%	3.10x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C5	prec	1	✓	13133.1	132.0	100.0%	3.31x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C6	prec	1	✓	13122.4	131.0	100.0%	3.50x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C7	prec	1	✓	13158.9	132.8	100.0%	3.86x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C8	prec	10	✓	13977.4	745.1	100.0%	3.95x	6590
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C9	prec	10	✓	13942.3	735.8	100.0%	4.27x	6590
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	C10	prec	5	✓	14139.8	528.2	100.0%	4.34x	3312
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	F32	perf	1	-	6053.2	91.9	-	-	283
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	F16	perf	1	-	6116.4	92.9	-	-	283
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	F16	perf	4	-	6810.2	340.3	-	-	1176
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	F16	perf	8	-	6391.6	503.3	-	-	2316
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	BF16	perf	1	-	6063.7	96.8	-	-	283
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	BF16	perf	8	-	6361.0	501.3	-	-	2316
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	BF16	perf	16	-	5637.8	639.0	-	-	4624
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	BF16	perf	48	-	3630.9	917.3	-	-	13796
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	Q8_0	perf	32	-	4858.0	717.2	100.0%	1.88x	9220
quantized_llama__test_parallel_batched_forwarding_llama2	Llama-2-7B-Chat (dense, Q4_0)	-	-	Q4_0	perf	32	-	4851.0	721.3	100.0%	3.56x	9220
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	BF16	perf	1	✓	5957.3	66.6	-	-	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	F16	perf	1	✓	6008.3	67.3	-	-	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	F16	perf	2	✓	6184.2	132.5	-	-	1312
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	BF16	perf	4	✓	6228.1	258.6	-	-	2586
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	Q8_0	perf	4	✓	6173.4	247.6	100.0%	1.88x	2586
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C0	perf	1	✓	5948.0	65.0	100.0%	1.90x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C1	perf	1	✓	5962.5	66.2	100.0%	2.54x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C2	perf	1	✓	5965.9	67.4	100.0%	2.67x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C3	perf	1	✓	5966.3	66.8	100.0%	2.92x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C4	perf	1	✓	5964.4	65.2	100.0%	3.31x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C5	perf	1	✓	5951.1	65.1	100.0%	3.67x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C6	perf	1	✓	5946.7	67.0	100.0%	4.31x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C7	perf	1	✓	5914.9	67.2	100.0%	4.49x	636
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C8	perf	10	✓	6062.2	434.3	100.0%	4.85x	6410
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C9	perf	5	✓	6117.4	300.6	100.0%	5.47x	3222
quantized_qwen3__test_parallel_batched_forwarding	Qwen3-8B (dense, Q6_K)	-	-	C10	perf	5	✓	6108.4	303.4	100.0%	5.85x	3222
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	F16	prec	1	✓	5544.7	118.8	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	BF16	prec	1	✓	5534.1	119.4	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	BF16	prec	4	✓	5961.0	423.4	-	-	2678
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	Q8_0	prec	4	✓	5932.3	422.5	100.0%	1.88x	2678
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C0	prec	1	✓	5499.2	132.0	100.0%	2.12x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C1	prec	1	✓	5498.3	131.9	100.0%	2.43x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C2	prec	1	✓	5489.6	131.5	100.0%	2.82x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C3	prec	1	✓	5495.6	131.4	100.0%	3.12x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C4	prec	1	✓	5510.2	131.7	100.0%	3.46x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C5	prec	1	✓	5493.1	130.9	100.0%	3.62x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C6	prec	1	✓	5507.0	131.0	100.0%	3.96x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C7	prec	1	✓	5483.9	131.3	100.0%	4.03x	659
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C8	prec	20	✓	5829.2	864.2	100.0%	4.49x	13278
quantized_qwen35__test_parallel_batched_forwarding_9b	Qwen3.5-9B (hybrid dense)	-	-	C9	prec	5	✓	5930.0	471.7	100.0%	5.00x	3337
